"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","76","","IntegrationTests","","IntegrationTests.TrainerServiceITCase","","testCreateTrainer_Success",""
"passed","","","70","","IntegrationTests","","IntegrationTests.TrainingRoomServiceITCase","","testUpdateRoom_NotFound",""
"passed","","","78","","IntegrationTests","","IntegrationTests.TrainerRepositoryDeleteITCase","","testDeleteTrainer_Success",""
"passed","","","113","","UnitTests","","UnitTests.TrainingRoomRepositoryTests","","testDeleteTrainingRoom_NotFound",""
"passed","","","123","","UnitTests","","UnitTests.MembershipTypeRepositoryTests","","testDeleteMembershipType_NotFound",""
"passed","","","105","","IntegrationTests","","IntegrationTests.AttendanceServiceITCase","","testCreate_Success",""
"passed","","","30","","UnitTests","","UnitTests.MembershipServiceTests","","testCreateMembership_Success",""
"passed","","","74","","IntegrationTests","","IntegrationTests.MembershipTypeServiceITCase","","testDelete_Success",""
"passed","","","29","","UnitTests","","UnitTests.MembershipServiceTests","","testUpdateMembership_NotFound",""
"passed","","","76","","IntegrationTests","","IntegrationTests.TrainingRoomServiceITCase","","testUpdateRoom_Success",""
"passed","","","44","","UnitTests","","UnitTests.MembershipTypeServiceTests","","testUpdateMembershipType_NameAlreadyExists",""
"passed","","","73","","IntegrationTests","","IntegrationTests.UserRepositoryUpdateITCase","","testUpdateUser_Success",""
"passed","","","74","","IntegrationTests","","IntegrationTests.UserRepositoryUpdateITCase","","testUpdateUser_DuplicateEmail",""
"passed","","","72","","IntegrationTests","","IntegrationTests.TrainingRoomRepositoryDeleteITCase","","testDeleteTrainingRoom_NotFound",""
"passed","","","98","","UnitTests","","UnitTests.UserRepositoryTests","","testUpdateUser_NotFound",""
"passed","","","76","","IntegrationTests","","IntegrationTests.TrainerRepositoryCreateITCase","","testCreateTrainer_Success",""
"passed","","","24","","UnitTests","","UnitTests.MembershipTypeServiceTests","","testUpdateMembershipType_Success",""
"passed","","","62","","UnitTests","","UnitTests.UserRepositoryTests","","testDeleteUser_NotFound",""
"passed","","","88","","IntegrationTests","","IntegrationTests.MembershipRepositoryFindITCase","","testFindMembershipById_Success",""
"passed","","","71","","IntegrationTests","","IntegrationTests.TrainerRepositoryFindITCase","","testFindTrainerById_NotFound",""
"passed","","","95","","UnitTests","","UnitTests.AttendanceServiceTests","","testCreate_Success",""
"passed","","","65","","IntegrationTests","","IntegrationTests.UserRepositoryFindITCase","","testFindUserAll_NotFound",""
"passed","","","32","","UnitTests","","UnitTests.MembershipTypeServiceTests","","testDelete_Success",""
"passed","","","36","","UnitTests","","UnitTests.TrainerServiceTests","","testCreateTrainer_UserAlreadyHasTrainer",""
"passed","","","71","","IntegrationTests","","IntegrationTests.UserRepositoryFindITCase","","testFindUserByEmail_Success",""
"passed","","","86","","IntegrationTests","","IntegrationTests.TrainingRepositoryFindITCase","","testFindTrainingByRoomId_Success",""
"passed","","","23","","UnitTests","","UnitTests.UserServiceTests","","testUpdateUser_EmailAlreadyExists",""
"passed","","","418","","IntegrationTests","","IntegrationTests.AuthServiceITCase","","testRegister_Success",""
"passed","","","79","","IntegrationTests","","IntegrationTests.MembershipRepositoryDeleteITCase","","testDeleteMembership_NotFound",""
"passed","","","84","","IntegrationTests","","IntegrationTests.MembershipServiceITCase","","testDeleteMembership_NotFound",""
